Job,wj,pj,rj,dj
1,38,24.07,1236,1413
2,66,25.15,1310,1947
3,16,24.44,1176,2349
4,96,16.43,311,536
5,35,24.86,1283,2015
6,99,22.57,555,932
7,24,16.56,1356,1659
8,59,13.04,443,746
9,41,33.96,961,1527
10,14,18.78,1189,2341
11,54,14.14,345,516
12,52,20.83,1089,1439
13,77,20.36,416,468
14,93,37.14,76,133
15,9,33.98,47,57
16,20,24.18,1050,1470
17,99,37.97,1164,1348
18,24,37.54,1295,1862
19,24,31.0,369,438
20,63,16.97,66,99
21,73,20.53,1433,2321
22,69,19.59,1280,2379
23,3,20.11,1174,1678
24,90,19.34,603,820
25,29,25.26,382,551
26,56,13.9,745,1279
27,38,33.76,828,1287
28,3,12.78,262,489
29,49,23.24,1400,2499
30,83,14.63,272,349
31,37,26.39,416,486
32,52,15.93,402,796
33,47,17.62,1318,2283
34,39,32.75,1265,1520
35,74,19.65,1189,2361
36,34,19.73,1048,1628
37,60,29.24,1306,1498
38,32,21.18,810,1316
39,35,22.89,459,676
40,24,16.74,1310,1904
41,70,16.35,1017,1135
42,21,12.15,297,545
43,27,20.7,1190,2313
44,37,15.38,294,515
45,57,21.71,830,1004
46,92,18.06,827,1253
47,82,29.81,1074,1809
48,16,26.14,1274,1925
49,2,18.99,1285,2135
50,78,34.92,262,410
51,26,36.84,438,558
52,34,19.44,1184,1996
53,81,24.89,1289,1928
54,81,17.16,419,600
55,49,15.52,466,565
56,85,32.37,484,620
57,37,13.84,91,176
58,5,16.61,1466,2086
59,26,21.01,1160,1685
60,46,24.34,508,837
61,69,26.09,35,61
62,31,37.39,936,1618
63,46,20.2,977,1180
64,82,19.27,566,950
65,68,26.7,55,101
66,32,21.49,1299,2290
