Job,wj,pj,rj,dj
1,71,26.39,1194,1614
2,29,26.34,857,1275
3,51,20.61,192,304
4,89,25.89,554,657
5,90,20.1,66,122
6,13,23.99,280,443
7,21,19.89,978,1758
8,5,21.75,871,1139
9,44,14.3,641,1262
10,3,18.53,368,654
11,46,35.87,873,1230
12,65,18.32,1280,2501
13,28,26.39,583,1009
14,68,25.52,94,175
15,59,27.13,77,88
16,2,22.25,111,128
17,56,24.44,1284,2271
18,26,14.48,724,995
19,42,14.67,1121,1754
20,28,17.73,228,283
21,69,16.75,348,689
22,44,15.48,926,1438
23,16,16.23,1198,2212
24,54,23.63,456,532
25,78,17.51,87,133
26,31,34.64,1156,1336
27,22,26.18,389,737
28,39,23.41,992,1489
29,94,26.75,211,245
30,98,18.9,930,1087
31,67,33.37,1126,1785
32,90,30.18,973,1136
33,85,27.19,481,609
34,38,22.34,972,1451
35,9,30.27,187,289
36,65,27.62,420,682
37,56,25.72,561,930
38,36,32.82,1174,1685
39,23,25.17,206,341
40,41,20.5,1178,1463
41,47,23.62,1069,1441
42,27,17.68,1300,2365
43,29,17.59,492,609
44,46,27.17,274,356
45,86,28.64,322,425
46,59,35.91,1108,1697
47,28,30.54,1292,1422
48,28,23.45,935,1054
49,45,15.19,646,979
50,21,22.49,384,479
51,20,33.42,1116,1910
52,51,28.71,1167,2119
53,9,22.42,123,199
54,48,21.92,289,499
55,36,18.09,1113,1616
56,71,17.29,1135,1296
57,75,14.7,421,630
