Job,wj,pj,rj,dj
1,56,17.69,15,20
2,12,19.96,1263,2510
3,40,27.82,1313,2559
4,78,20.48,278,477
5,51,23.22,1645,2489
6,18,20.32,1366,2464
7,85,22.94,1000,1492
8,96,18.86,73,89
9,98,30.57,587,652
10,19,24.96,629,1112
11,97,19.56,1516,3001
12,23,28.39,214,274
13,3,32.08,340,668
14,95,27.45,1640,2481
15,92,30.69,887,1332
16,29,29.61,848,1305
17,17,31.01,405,514
18,40,20.75,1575,2477
19,51,24.73,108,171
20,31,21.27,242,468
21,43,18.52,393,748
22,83,14.29,131,179
23,56,29.54,1477,2011
24,83,20.77,1006,1252
25,100,36.44,1531,2136
26,33,20.74,851,1018
27,9,25.1,1334,2305
28,77,21.72,218,347
29,15,12.77,1047,1373
30,73,18.36,1559,3023
31,96,28.49,871,1505
32,7,17.14,789,1168
33,45,21.26,1233,2254
34,84,24.41,68,84
35,15,32.69,1233,1805
36,77,22.79,494,558
37,78,21.65,840,1114
38,68,13.11,1495,1673
39,13,18.28,323,568
40,4,17.38,1105,2171
41,66,18.53,825,954
42,25,29.31,1347,1559
43,99,23.02,960,1387
44,53,20.54,490,682
45,6,22.04,313,373
46,70,24.6,870,1437
47,63,23.7,1116,1582
48,90,13.15,1216,1450
49,16,21.01,658,1311
50,61,15.0,462,733
51,32,22.39,474,914
52,76,30.72,1530,1827
53,16,30.44,1520,2747
54,93,20.56,100,116
55,50,27.0,1020,1549
56,83,11.18,889,1719
57,23,28.11,303,543
58,11,27.67,794,1156
59,67,30.8,324,376
60,58,21.95,1157,1599
61,88,34.4,289,505
62,100,25.25,854,1250
63,28,22.64,871,1612
64,74,17.53,748,1425
65,28,28.0,834,1190
66,73,20.58,1589,2209
67,49,17.92,1547,2885
68,87,19.84,388,577
69,16,17.86,789,1201
70,97,21.18,1173,2210
71,5,16.38,1429,1851
72,70,29.5,1585,3022
73,65,25.27,43,59
74,5,26.05,1132,1758
