Job,wj,pj,rj,dj
1,24,23.82,864,1202
2,82,35.04,209,342
3,97,21.89,224,283
4,97,16.22,1445,2008
5,45,28.01,671,1158
6,61,17.78,290,450
7,78,17.26,1371,2582
8,64,21.62,1558,2875
9,72,20.1,1420,1943
10,4,35.57,1222,1376
11,30,16.55,170,285
12,6,30.34,1563,2942
13,86,25.92,989,1845
14,37,15.73,1541,1716
15,68,15.15,965,1193
16,26,35.51,17,21
17,35,17.63,1702,2304
18,1,14.96,227,315
19,36,18.99,1185,1391
20,95,25.51,572,818
21,22,23.51,308,589
22,32,26.51,241,292
23,92,35.29,1145,2066
24,3,19.13,520,599
25,7,18.37,1050,1215
26,63,30.38,1601,2379
27,87,18.2,347,684
28,1,26.34,205,265
29,75,16.79,671,1311
30,81,17.82,1189,1354
31,8,14.5,1617,3071
32,66,27.74,280,450
33,51,17.35,785,1444
34,48,16.11,477,732
35,96,18.21,350,464
36,0,19.16,528,982
37,25,13.19,1362,1916
38,71,18.74,159,279
39,32,25.9,1487,2914
40,28,28.0,1427,2745
41,70,18.23,1167,1819
42,92,24.74,506,666
43,24,32.74,284,515
44,46,23.42,1573,1795
45,25,20.62,122,233
46,38,11.99,812,1307
47,60,29.88,617,688
48,77,29.51,273,428
49,7,14.89,1657,2559
50,69,17.18,375,484
51,55,30.15,1218,2017
52,14,23.83,1505,1658
53,10,20.25,1145,1501
54,25,16.6,246,387
55,15,15.44,1357,1736
56,93,23.76,369,487
57,68,26.81,1636,2442
58,24,34.57,142,163
59,57,27.7,1097,1412
60,56,20.59,1050,1225
61,7,27.96,822,1495
62,84,14.62,283,439
63,41,24.94,431,576
64,14,27.06,1250,2271
65,19,13.54,1641,2034
66,49,20.95,1585,2979
67,71,16.96,1262,1912
68,98,19.1,400,642
69,87,18.24,1308,1806
70,50,19.56,509,671
71,11,16.39,482,650
72,91,26.46,1313,1870
73,36,13.98,1174,1894
74,23,24.15,467,527
75,87,17.34,280,405
76,14,22.8,176,248
77,24,19.19,838,1397
78,60,20.56,1426,2683
