Job,wj,pj,rj,dj
1,18,24.66,203,342
2,5,22.95,497,623
3,36,33.06,1929,3511
4,28,17.77,1640,2398
5,53,10.7,868,1002
6,31,14.64,1652,2713
7,30,21.35,95,119
8,11,22.66,1536,2283
9,25,24.01,1927,2845
10,92,31.53,62,120
11,26,17.76,1179,2282
12,72,21.36,1493,2061
13,87,33.63,396,525
14,81,20.45,902,1699
15,21,12.12,504,866
16,17,32.24,1631,2265
17,5,24.81,1897,3230
18,4,35.82,523,1018
19,20,24.93,266,487
20,100,33.82,335,386
21,37,24.49,819,1622
22,76,16.46,966,1846
23,47,26.11,292,424
24,51,23.5,1432,2724
25,95,11.65,738,1127
26,11,28.38,316,564
27,47,16.04,1203,2220
28,14,22.98,623,761
29,54,25.84,1840,2574
30,30,28.07,1535,1748
31,54,34.04,1079,1254
32,67,16.1,535,886
33,36,17.94,1463,2389
34,62,20.49,15,29
35,64,21.05,1788,2370
36,42,24.32,417,810
37,40,38.09,1679,2565
38,39,24.73,973,1668
39,41,26.21,1765,2009
40,8,15.37,974,1914
41,6,21.57,987,1280
42,8,16.22,418,559
43,70,18.04,523,939
44,3,30.52,1244,2347
45,50,20.56,908,1809
46,13,18.27,1813,3150
47,3,30.83,1107,1630
48,64,22.1,1403,1545
49,45,26.1,409,793
50,97,20.68,528,989
51,33,26.96,832,969
52,20,20.48,52,68
53,68,23.6,1415,2494
54,35,24.24,838,1118
55,77,15.88,40,50
56,79,16.92,1353,2675
57,44,27.64,728,1057
58,27,22.21,450,620
59,2,25.1,1016,1327
60,37,29.38,288,333
61,10,14.45,1878,2858
62,73,19.49,32,36
63,46,24.97,1452,2536
64,52,22.56,1713,2453
65,68,28.75,1741,2779
66,43,30.17,1054,1966
67,60,28.03,815,1286
68,82,16.04,1482,2959
69,45,35.74,1597,3082
70,89,30.96,538,856
71,22,15.46,527,910
72,11,20.14,494,913
73,1,13.29,1716,2227
74,92,24.26,1891,2826
75,64,28.97,307,582
76,22,35.7,1886,2159
77,55,35.65,1004,1590
78,92,14.87,643,855
79,88,17.44,1516,2211
80,13,31.64,1847,2418
81,30,27.62,520,859
82,30,17.08,165,305
83,57,21.65,107,207
84,74,22.9,1607,1983
85,33,18.08,622,1196
