Job,wj,pj,rj,dj
1,52,26.2,513,920
2,77,19.12,295,398
3,79,16.16,790,1077
4,87,23.94,634,746
5,19,21.17,31,39
6,27,23.76,798,1066
7,50,30.65,285,479
8,74,15.39,225,293
9,19,20.32,254,397
10,18,36.02,518,894
11,54,33.16,394,745
12,28,35.66,220,402
13,76,13.91,766,1463
14,27,31.64,332,621
15,29,28.25,217,324
16,96,18.48,699,1140
17,91,15.58,374,676
18,57,17.48,567,906
19,49,27.82,368,610
20,65,34.68,604,976
21,54,28.79,50,88
22,100,17.48,54,107
23,14,22.89,240,293
24,98,14.94,496,596
25,62,23.09,11,19
26,72,16.34,310,357
27,30,17.72,550,882
28,60,15.7,740,1137
29,75,25.16,208,247
30,64,34.63,84,153
31,92,23.14,675,779
32,89,20.05,450,722
33,64,22.82,4,6
34,30,37.61,295,395
