Job,wj,pj,rj,dj
1,2,21.31,1031,1248
2,63,24.62,347,500
3,75,22.91,763,1134
4,50,24.47,518,808
5,22,18.87,66,126
6,20,19.5,54,74
7,76,12.76,793,1155
8,17,19.54,1303,2364
9,9,18.52,975,1434
10,69,23.71,674,854
11,95,23.85,294,546
12,0,22.25,1467,2365
13,51,19.37,1048,1209
14,81,14.39,1369,2724
15,61,36.44,1485,1939
16,72,20.1,1055,1744
17,29,22.59,1367,1956
18,92,36.29,1077,1963
19,71,21.68,37,62
20,54,19.77,1313,2415
21,14,23.03,308,419
22,37,24.09,802,1081
23,67,30.64,898,1474
24,44,14.52,847,1647
25,43,22.08,1477,2565
26,62,28.56,306,409
27,51,27.01,26,31
28,65,24.24,1485,2247
29,60,13.34,1299,2569
30,81,20.26,799,1368
31,52,23.81,729,929
32,91,19.48,204,233
33,32,22.89,593,1161
34,9,26.0,166,311
35,30,16.91,1252,2310
36,11,13.89,135,266
37,83,20.07,360,590
38,5,15.69,1004,1946
39,63,17.33,514,633
40,55,31.72,1147,1379
41,82,20.49,1406,2017
42,20,18.1,615,1101
43,86,27.81,163,226
44,35,15.66,1423,2382
45,75,27.62,1373,1522
46,30,22.16,688,1093
47,88,24.47,1513,2124
48,33,16.65,672,1282
49,17,17.43,450,876
50,39,25.41,1451,2098
51,9,13.82,1288,1876
52,82,18.64,888,1694
53,15,23.43,1127,1299
54,38,18.25,373,546
55,94,20.73,1567,1907
56,99,33.17,1690,1991
57,46,33.31,555,1002
58,83,23.88,1514,2080
59,25,23.27,543,883
60,60,12.11,44,83
61,90,36.36,86,163
62,53,23.99,323,530
63,59,28.82,121,203
64,4,23.78,450,518
65,36,31.42,1598,2186
66,8,24.2,801,1380
67,31,26.78,228,290
68,33,16.68,1417,2583
69,77,21.48,706,1104
70,4,26.45,43,77
71,43,15.6,1499,1889
72,31,21.66,480,564
73,64,17.06,1241,1904
74,35,22.8,622,980
75,4,29.58,1390,2400
76,88,15.2,1478,1898
77,76,29.05,942,1605
78,88,23.85,978,1774
