Job,wj,pj,rj,dj
1,55,20.91,430,824
2,97,24.88,948,1620
3,71,21.62,1714,2378
4,70,18.85,775,1362
5,22,21.22,2059,3145
6,98,21.33,2000,3210
7,1,32.35,384,620
8,25,36.5,536,663
9,43,24.97,122,174
10,78,15.0,1996,2978
11,20,27.34,788,908
12,86,26.12,914,1601
13,98,29.78,628,876
14,16,20.21,286,437
15,60,14.2,1062,2074
16,1,24.74,546,1027
17,39,16.1,1309,1762
18,4,27.99,471,688
19,96,28.89,1189,1919
20,44,21.16,2204,2661
21,95,34.19,864,1570
22,79,17.22,2218,3086
23,87,34.13,133,160
24,17,22.09,1275,2214
25,7,28.08,1394,2179
26,60,27.82,2235,2513
27,17,36.64,2150,3454
28,73,36.0,1187,2122
29,41,13.47,1765,1991
30,53,12.19,2268,3837
31,94,23.45,1712,2269
32,52,13.19,2217,3307
33,11,25.66,2182,2542
34,16,23.29,1120,1768
35,55,25.86,1534,2984
36,52,21.69,418,574
37,64,19.04,1016,1176
38,40,34.5,2013,3751
39,65,27.23,1342,2621
40,40,11.38,649,1001
41,62,15.46,285,547
42,77,25.13,539,1034
43,18,19.3,290,511
44,38,21.15,543,1004
45,50,28.55,891,1110
46,69,20.31,100,186
47,25,33.33,1949,2873
48,55,27.05,938,1274
49,62,23.6,1319,2118
50,90,17.37,1478,2766
51,36,21.18,309,460
52,64,28.07,192,225
53,19,37.65,364,495
54,50,14.7,2292,3110
55,18,16.36,243,420
56,92,27.51,982,1924
57,43,30.01,2034,3244
58,83,15.16,1358,1804
59,42,29.88,41,71
60,90,28.69,2065,2546
61,40,26.32,893,1032
62,33,20.1,390,657
63,57,21.74,784,1128
64,85,20.5,1381,2079
65,86,30.22,88,103
66,60,19.92,1495,2290
67,8,19.84,1418,2333
68,60,33.77,532,1056
69,25,33.07,990,1108
70,73,35.66,450,704
71,89,29.25,50,77
72,51,15.11,1357,2256
73,60,15.22,1035,1933
74,7,23.7,1957,3030
75,54,30.71,463,748
76,13,31.66,1024,1590
77,61,25.24,1551,2818
78,36,34.85,159,305
79,77,16.75,826,1148
80,5,18.15,1594,2793
81,11,19.99,570,963
82,68,18.78,846,1215
83,51,19.68,1342,2447
84,57,15.96,952,1643
85,84,20.64,2038,3144
86,49,12.99,1998,3226
87,81,23.35,1938,3787
88,51,34.3,991,1661
89,93,21.75,442,739
90,67,24.98,1485,2142
91,15,24.74,995,1795
92,36,33.68,1176,2217
93,87,27.38,1513,2086
94,35,29.75,2184,3044
95,19,20.04,1878,3204
96,47,32.55,286,389
