Job,wj,pj,rj,dj
1,95,14.87,820,990
2,77,22.1,718,881
3,28,31.48,1143,2126
4,22,16.65,1000,1434
5,69,18.33,615,1015
6,17,32.98,716,1374
7,39,16.22,101,128
8,62,32.92,1133,1297
9,41,18.39,1062,1420
10,0,24.82,662,955
11,88,34.61,335,530
12,88,18.75,759,976
13,30,21.84,495,882
14,59,35.94,744,1232
15,98,18.47,470,846
16,85,17.72,358,456
17,7,26.32,472,624
18,29,30.36,1008,1690
19,29,21.89,995,1453
20,82,15.51,339,667
21,63,24.96,402,718
22,11,15.0,574,720
23,0,14.0,456,551
24,94,20.18,390,545
25,14,32.47,628,1142
26,42,29.01,115,189
27,35,20.78,28,36
28,87,15.27,225,253
29,43,16.17,1142,1783
30,83,23.29,903,1757
31,72,22.81,619,1002
32,12,22.74,145,284
33,60,16.16,1185,1816
34,13,28.81,1054,2099
35,8,24.43,1139,1759
36,83,27.94,670,1236
37,46,21.99,354,477
38,16,14.73,220,255
39,55,24.56,926,1620
40,59,21.6,184,223
41,77,11.39,713,1304
42,66,13.74,876,1701
43,56,21.33,672,946
44,18,31.45,942,1301
45,24,21.56,1100,1804
46,51,25.37,96,166
47,40,23.91,138,157
48,48,18.49,135,225
49,96,19.42,342,430
50,90,11.23,654,767
51,51,16.22,528,730
52,82,23.19,533,785
53,83,25.46,817,1189
54,23,16.6,177,310
