Job,wj,pj,rj,dj
1,33,15.93,964,1137
2,82,26.82,1801,3079
3,4,17.83,1821,2586
4,11,22.51,481,665
5,60,13.31,37,70
6,53,19.73,1333,2503
7,42,30.93,538,982
8,34,23.72,28,40
9,62,23.51,193,324
10,44,20.52,833,1365
11,74,29.85,240,315
12,52,19.11,412,672
13,58,16.14,1482,2960
14,65,23.8,906,1039
15,99,18.96,226,297
16,82,28.38,428,598
17,41,17.34,1850,3369
18,88,28.6,16,24
19,82,24.66,1277,1477
20,5,13.54,1282,1777
21,72,23.78,1353,2500
22,80,25.89,1150,2029
23,74,33.92,1561,2109
24,71,28.67,1635,2871
25,54,27.76,1287,1786
26,12,22.63,357,442
27,96,13.58,1445,2870
28,40,29.52,566,756
29,22,12.02,1674,2758
30,72,23.57,1134,2184
31,99,23.88,170,285
32,26,15.82,1812,2689
33,67,14.34,920,1341
34,60,24.03,1876,2146
35,72,22.43,81,95
36,94,19.51,214,322
37,35,13.46,1503,2901
38,25,25.18,83,109
39,40,16.11,898,1690
40,75,11.87,1623,2963
41,72,19.11,834,1048
42,41,19.51,378,522
43,99,17.35,1678,2493
44,45,14.48,213,399
45,37,28.49,573,957
46,71,21.04,432,796
47,8,18.59,924,1430
48,40,23.1,636,1033
49,77,18.75,1808,2727
50,76,30.57,1563,2083
51,28,22.4,1404,2326
52,19,24.96,278,450
53,47,35.98,1217,2289
54,33,20.32,1694,3273
55,73,18.21,1838,2972
56,19,36.43,1317,2271
57,33,24.26,515,748
58,84,36.68,551,942
59,62,35.66,1264,2526
60,89,26.7,1441,2805
61,98,12.41,608,746
62,84,24.76,1349,2623
63,18,18.65,1008,1144
64,62,16.23,1650,1852
65,48,20.5,1359,1712
66,40,17.75,1810,2488
67,74,28.16,239,475
68,83,33.72,1670,3255
69,68,12.81,1886,3371
70,14,18.76,1141,1895
71,70,18.94,8,16
72,6,16.53,67,108
73,19,34.61,820,1059
74,92,18.62,912,1113
75,41,20.35,950,1698
76,15,13.83,1355,2134
77,68,18.45,1502,2757
78,16,31.62,1633,2963
79,65,35.38,689,1173
80,25,25.63,1223,2200
81,4,19.44,781,1343
82,96,14.22,1443,2144
83,7,30.98,1121,2071
84,51,16.82,1183,2276
85,34,18.99,771,1388
86,66,23.54,1262,1486
87,84,18.7,1726,3374
88,60,30.35,1296,1982
89,59,22.72,256,486
