Job,wj,pj,rj,dj
1,87,35.35,54,105
2,21,35.11,70,136
3,92,17.52,157,188
4,49,12.7,604,1123
5,61,17.83,395,558
6,77,26.58,511,608
7,52,28.5,354,512
8,30,12.62,398,621
9,19,24.08,508,998
10,8,10.7,580,832
11,74,22.95,571,634
12,44,25.3,516,967
13,16,37.06,59,71
14,88,18.82,226,346
15,27,29.11,22,41
16,41,31.18,342,535
17,30,33.19,498,748
18,63,10.82,32,58
19,58,22.16,118,132
20,60,36.67,229,370
21,27,21.01,153,225
22,28,29.43,498,989
23,25,23.5,220,401
24,33,28.27,400,459
25,14,22.42,309,393
26,17,12.96,365,550
