Job,wj,pj,rj,dj
1,52,23.45,132,233
2,55,28.18,425,800
3,5,28.79,335,660
4,36,14.65,241,364
5,22,25.71,406,593
6,69,14.0,557,763
7,16,26.25,464,856
8,7,21.72,247,474
9,94,22.13,549,982
10,56,25.74,27,31
11,8,26.36,420,691
12,72,18.89,387,753
13,16,11.86,302,360
14,25,28.29,325,643
15,29,29.5,414,588
16,70,16.47,391,660
17,46,24.09,456,552
18,22,20.11,65,128
19,45,18.35,114,192
20,12,17.72,413,802
21,92,19.02,226,433
22,57,36.27,194,290
23,47,18.04,88,171
24,31,20.35,58,101
25,4,12.35,233,312
26,75,24.84,334,421
