Job,wj,pj,rj,dj
1,77,38.39,329,558
2,87,18.6,8,16
3,1,15.75,887,1618
4,31,22.72,1011,1544
5,96,21.94,1096,1693
6,51,27.38,358,476
7,32,24.92,561,924
8,54,24.92,877,1015
9,22,16.71,770,1243
10,81,23.36,317,375
11,34,16.01,461,723
12,54,16.78,1072,1756
13,1,21.84,865,1553
14,67,21.49,90,142
15,21,27.36,244,409
16,93,14.7,1052,1669
17,37,19.15,489,655
18,75,17.04,242,334
19,76,22.82,411,616
20,87,24.11,488,702
21,11,25.27,894,1440
22,30,18.01,158,233
23,47,21.31,1012,1982
24,67,22.11,450,737
25,26,14.99,565,863
26,70,23.94,154,307
27,66,18.28,322,420
28,18,13.27,1120,1690
29,32,35.39,562,838
30,89,14.73,180,321
31,8,27.28,654,1056
32,75,22.73,735,1264
33,6,15.27,1005,1478
34,73,23.1,507,657
35,74,21.58,1134,1397
36,41,23.53,232,308
37,99,33.76,612,891
38,45,38.28,475,552
39,19,25.77,330,601
40,35,20.31,715,831
41,71,21.66,94,107
42,36,28.39,586,750
43,5,25.07,561,729
44,32,15.42,871,1166
45,100,25.54,347,386
46,29,35.66,257,372
47,46,18.43,243,417
48,74,20.91,1163,1382
49,94,14.98,536,925
50,18,29.71,1135,1342
51,21,19.32,1061,2007
52,13,17.01,522,785
53,21,17.0,485,780
