Job,wj,pj,rj,dj
1,90,13.34,13,18
2,89,26.77,333,427
3,82,24.91,648,1287
4,4,28.45,1073,1632
5,69,21.99,1363,2362
6,38,20.71,1284,1591
7,52,19.36,824,1449
8,66,23.7,623,1056
9,19,15.02,618,1089
10,27,25.13,973,1864
11,72,34.23,1019,1848
12,78,31.92,1030,1499
13,85,31.46,539,1040
14,78,20.17,1325,1506
15,4,26.65,1113,2020
16,12,23.16,361,669
17,75,25.7,892,1416
18,24,18.97,1185,1976
19,25,24.66,11,22
20,86,13.8,108,157
21,95,26.48,1387,2154
22,56,19.48,1109,1699
23,18,17.05,1033,1796
24,77,19.98,1215,1356
25,49,17.04,324,375
26,63,32.84,148,178
27,84,19.23,1042,1925
28,46,15.68,666,916
29,50,15.92,1065,1759
30,68,27.89,681,1088
31,65,30.17,387,700
32,27,13.27,535,986
33,7,16.04,948,1742
34,77,31.91,1032,1188
35,48,22.94,1361,2588
36,33,33.27,955,1869
37,51,24.15,688,894
38,26,28.34,180,324
39,31,21.39,706,1040
40,63,29.77,574,871
41,56,20.8,358,613
42,32,20.32,866,1680
43,39,21.48,1255,2349
44,26,20.95,936,1837
45,58,30.34,807,1348
46,16,20.62,909,1054
47,60,20.58,1347,2538
48,83,21.28,1212,1727
49,16,21.42,1097,1838
50,73,25.78,436,836
51,41,17.55,381,593
52,78,27.1,1342,2514
53,80,18.72,724,1446
54,79,35.27,585,1169
55,59,16.31,896,1225
56,66,29.23,967,1284
57,65,20.33,1077,1396
58,43,15.04,621,944
59,51,27.3,1334,2520
60,50,38.57,747,1117
