Job,wj,pj,rj,dj
1,53,14.97,12,21
2,19,23.48,607,1068
3,7,16.91,586,1079
4,79,26.07,665,1177
5,66,15.96,699,1029
6,64,21.75,209,327
7,58,31.8,180,335
8,4,28.97,237,444
9,36,14.52,546,753
10,95,35.15,63,76
11,6,25.7,515,808
12,86,27.01,655,985
13,88,27.6,528,1007
14,5,31.79,599,925
15,65,16.34,269,418
16,55,28.43,168,240
17,60,30.14,187,337
18,48,29.88,555,1084
19,28,12.96,49,60
20,30,20.87,346,586
21,56,21.62,372,464
22,40,23.04,489,674
23,79,22.56,81,160
24,42,16.26,437,671
25,14,36.94,732,1161
26,15,14.44,393,684
27,6,24.11,435,748
28,72,24.14,753,853
29,29,34.77,635,1206
30,20,17.7,380,482
31,83,15.0,61,110
32,57,31.65,664,1115
