Job,wj,pj,rj,dj
1,28,20.98,439,599
2,7,16.51,394,488
3,76,31.13,1674,2341
4,45,25.78,1892,2736
5,54,30.34,1638,2269
6,73,13.16,1762,2253
7,85,20.63,1460,2308
8,77,17.1,284,422
9,73,25.86,229,312
10,24,19.14,1714,2430
11,72,14.95,180,346
12,6,25.53,1967,2590
13,41,39.27,1638,2924
14,61,27.36,642,1169
15,26,27.88,507,639
16,29,23.63,768,1228
17,68,24.1,500,758
18,84,27.93,1963,2519
19,81,22.7,117,154
20,0,22.29,661,730
21,92,33.08,150,277
22,81,22.35,364,689
23,96,17.88,537,997
24,48,20.66,178,235
25,66,16.49,1033,1723
26,73,24.08,615,842
27,47,13.03,1926,2124
28,81,31.25,565,1085
29,44,32.81,1189,1544
30,13,25.53,887,1360
31,64,25.63,1981,2525
32,48,26.68,1703,3141
33,66,22.12,1089,1768
34,8,26.51,140,241
35,66,20.55,910,1517
36,49,22.51,971,1640
37,76,25.55,834,1345
38,43,14.52,507,941
39,33,23.29,1609,2730
40,48,27.37,763,945
41,92,21.46,205,283
42,31,25.53,1910,3137
43,98,24.06,873,1076
44,11,18.97,1756,2047
45,97,31.91,274,312
46,87,16.99,1519,2405
47,95,20.77,1199,1768
48,24,13.45,79,149
49,86,22.09,1522,2161
50,80,25.16,50,61
51,16,30.52,1234,1805
52,30,24.33,144,233
53,57,18.96,1424,2313
54,88,19.9,294,383
55,4,15.15,1449,2277
56,36,25.28,102,142
57,65,24.04,160,278
58,74,26.46,444,860
59,96,26.22,1777,2492
60,12,26.37,1595,1976
61,40,31.7,1025,1708
62,55,31.8,1858,2086
63,48,14.75,779,1018
64,50,27.2,1050,1707
65,39,33.82,1978,3525
66,98,27.37,846,1286
67,4,14.23,629,995
68,17,14.41,609,1093
69,38,19.63,1160,1523
70,50,13.1,1065,2086
71,37,37.02,76,127
72,78,19.81,1611,2920
73,74,25.15,410,624
74,0,15.14,595,758
75,64,27.31,131,260
76,42,20.13,1025,1180
77,26,29.35,1240,1808
78,27,18.92,1597,1976
79,0,14.3,502,641
80,47,16.97,1120,1867
81,54,13.77,1777,2381
82,81,19.9,1728,2328
83,37,35.11,1597,2422
84,89,25.89,1174,1705
85,50,25.7,1538,2340
86,37,17.23,432,574
87,98,10.76,1772,2516
