Job,wj,pj,rj,dj
1,58,15.82,806,1144
2,28,23.88,560,699
3,19,17.24,781,888
4,41,28.79,837,1333
5,12,13.18,1737,3468
6,68,28.94,857,1338
7,44,26.35,1210,2035
8,56,22.54,108,175
9,37,15.15,1820,3545
10,40,33.88,1485,2412
11,11,15.03,1913,2938
12,45,22.16,493,723
13,59,29.2,1898,2320
14,16,15.07,274,340
15,52,18.56,1395,2576
16,33,31.98,136,171
17,70,22.31,1186,1564
18,37,17.56,117,150
19,84,18.71,711,1294
20,48,28.06,507,770
21,52,35.01,51,57
22,38,28.06,1436,1934
23,100,19.8,885,1075
24,51,28.82,1692,2771
25,56,22.5,1039,1535
26,3,19.43,1664,2227
27,72,24.55,626,777
28,42,18.16,627,928
29,44,20.81,510,961
30,28,11.41,833,1253
31,90,20.38,1749,3130
32,67,17.68,940,1546
33,46,21.18,683,1218
34,29,15.73,1337,2016
35,53,15.07,318,555
36,56,27.69,1860,3315
37,75,17.41,923,1166
38,83,12.13,1607,2210
39,82,32.81,139,216
40,8,33.33,209,234
41,64,24.18,995,1501
42,31,19.68,846,1271
43,52,38.98,771,1306
44,96,16.71,909,1131
45,88,38.18,957,1748
46,30,16.12,622,950
47,51,20.27,1053,1446
48,9,23.23,1490,2047
49,64,19.85,1698,2726
50,13,29.22,1566,3065
51,77,35.12,55,87
52,8,23.38,1031,1817
53,33,22.67,1315,2325
54,68,29.08,736,1456
55,51,28.97,147,211
56,66,16.0,1312,2548
57,60,18.59,1157,1883
58,72,25.04,1440,2785
59,42,20.67,719,1384
60,40,14.36,15,20
61,83,20.61,567,680
62,71,14.72,789,1031
63,10,13.65,1233,2201
64,84,19.38,883,1414
65,44,27.86,889,1598
66,37,34.7,39,65
67,91,24.29,1887,2169
68,55,37.31,1346,1527
69,25,17.71,905,1735
70,3,13.59,503,951
71,21,20.77,826,1455
72,59,28.54,822,1612
73,16,28.08,1081,1268
74,84,30.97,1290,2050
75,78,23.34,546,706
76,17,23.15,484,832
77,77,29.49,1271,2007
78,34,16.22,65,79
79,47,27.04,1725,2625
80,22,14.48,787,1153
81,91,12.15,1612,2729
82,76,23.5,1449,2185
83,68,15.26,1468,2681
84,2,17.18,119,237
85,66,20.0,1892,2240
86,9,15.92,1270,2342
87,83,23.8,1331,1902
