Job,wj,pj,rj,dj
1,72,21.8,635,709
2,0,32.59,117,213
3,30,19.39,970,1270
4,15,19.29,459,838
5,9,16.25,591,856
6,19,12.41,417,783
7,35,26.12,242,429
8,40,17.97,923,1477
9,54,18.93,586,717
10,42,22.53,3,3
11,69,14.0,630,762
12,20,24.01,334,381
13,88,16.63,538,644
14,3,24.3,905,1179
15,67,26.58,365,636
16,42,15.54,928,1488
17,56,21.25,637,708
18,14,26.46,16,19
19,20,21.25,949,1870
20,80,13.87,706,1138
21,97,23.31,1018,1306
22,31,25.8,176,234
23,69,22.94,140,248
24,88,34.23,952,1215
25,89,24.25,712,1156
26,9,32.39,67,132
27,4,16.42,771,1436
28,17,16.46,770,1013
29,88,29.25,943,1456
30,10,20.99,727,1205
31,42,17.04,127,234
32,96,33.4,20,25
33,53,20.22,27,30
34,69,27.77,29,34
35,32,27.18,251,386
36,69,31.63,878,1445
37,83,24.97,550,887
38,2,27.78,565,783
39,75,20.23,860,1711
40,99,19.0,127,206
41,75,32.1,285,411
42,28,21.48,598,954
43,79,35.41,990,1753
44,10,25.79,573,975
