Job,wj,pj,rj,dj
1,97,33.96,1330,1667
2,87,27.12,1442,2120
3,53,17.32,133,194
4,23,24.89,1563,2438
5,1,23.79,1791,2223
6,43,28.09,1275,2530
7,40,29.23,1418,2367
8,52,19.47,1741,3372
9,48,16.44,1913,3206
10,56,25.21,709,1186
11,54,11.58,119,195
12,76,28.74,627,829
13,71,22.72,344,467
14,62,38.69,754,943
15,43,36.91,1016,1765
16,29,18.25,1594,2982
17,97,30.51,1920,2491
18,33,29.4,584,675
19,22,18.42,1919,2808
20,7,25.65,371,731
21,98,36.3,887,1091
22,13,27.31,368,589
23,32,15.36,525,944
24,7,22.69,35,45
25,22,22.04,496,701
26,39,10.47,779,1013
27,90,37.42,1002,1523
28,35,31.43,612,1188
29,98,18.07,26,43
30,3,24.61,1768,2121
31,35,22.2,476,670
32,38,20.39,441,764
33,76,23.19,8,16
34,94,23.84,524,747
35,32,30.01,554,868
36,43,14.34,1156,1504
37,27,24.63,1049,1482
38,80,22.74,1611,1965
39,64,16.93,1569,1986
40,7,16.61,1875,2567
41,60,25.26,1060,1212
42,80,31.62,1885,2545
43,3,13.14,1646,1934
44,46,21.47,381,429
45,79,31.44,1406,2767
46,99,22.28,1845,2571
47,58,20.52,1821,3131
48,4,18.5,1737,2348
49,45,13.8,1306,1954
50,19,17.25,1935,3555
51,63,23.69,504,914
52,22,23.21,1406,2212
53,15,23.46,249,353
54,54,19.47,1336,1861
55,10,31.01,1431,2711
56,73,30.42,1355,1627
57,94,22.1,1004,1450
58,94,27.79,829,942
59,37,28.6,1747,2919
60,60,20.53,947,1845
61,66,17.29,641,1033
62,51,18.71,95,136
63,47,18.43,1329,1836
64,1,20.9,1523,2639
65,7,11.47,1016,1252
66,43,19.18,1471,2573
67,43,23.33,1290,1608
68,19,21.39,1012,1368
69,53,23.24,380,750
70,60,27.51,720,1007
71,72,33.58,1471,2891
72,31,19.89,1513,2889
73,40,19.01,107,136
74,82,22.27,863,977
75,59,24.7,1228,1764
76,71,17.5,1476,2544
77,51,12.9,805,1574
78,83,17.82,1098,1561
79,72,18.58,763,1092
80,87,21.61,686,840
81,20,25.12,658,1172
82,30,19.51,1654,2517
83,48,36.17,156,239
84,49,31.21,73,93
85,61,24.91,1381,1587
86,82,20.07,732,1257
87,53,17.14,1896,2910
