Job,wj,pj,rj,dj
1,3,28.42,694,908
2,55,23.31,226,379
3,44,34.73,440,548
4,42,23.46,679,1279
5,33,14.96,698,904
6,20,20.5,180,318
7,62,30.54,930,1570
8,30,21.13,821,1493
9,27,12.86,141,159
10,62,18.61,917,1198
11,53,14.49,790,1370
12,13,38.08,842,993
13,51,35.8,573,646
14,18,29.05,233,331
15,79,24.54,969,1580
16,85,28.12,625,717
17,49,17.13,365,423
18,85,19.38,278,317
19,8,23.1,964,1403
20,51,20.35,443,754
21,7,13.7,570,729
22,43,36.82,642,1213
23,10,21.69,872,1299
24,13,22.75,658,1091
25,60,19.85,186,253
26,23,18.83,624,1032
27,11,20.82,516,1010
28,22,29.96,578,869
29,35,27.43,738,949
30,47,20.7,259,384
31,20,11.98,197,296
32,64,28.97,117,182
33,48,18.99,289,455
34,51,24.18,11,13
35,39,12.77,664,829
36,79,25.76,311,468
37,58,20.83,198,344
38,16,22.63,101,182
39,70,21.26,299,538
40,96,20.26,227,352
41,50,23.59,301,590
42,89,35.97,497,695
43,34,15.82,580,889
44,57,19.69,891,1580
45,43,13.54,1043,1953
46,44,27.47,52,77
