Job,wj,pj,rj,dj
1,70,23.49,1407,1548
2,100,17.93,1064,2002
3,22,16.39,1571,1879
4,36,28.23,229,434
5,74,22.24,207,349
6,100,23.01,1622,2033
7,32,34.21,830,925
8,14,25.38,641,788
9,38,21.64,1968,2467
10,32,22.06,77,147
11,37,18.64,41,52
12,71,18.78,711,1081
13,90,12.63,839,1040
14,53,33.63,2230,2837
15,25,20.9,1824,2586
16,67,25.47,1435,1744
17,56,20.35,344,503
18,54,15.76,1640,3060
19,89,21.81,643,869
20,84,22.15,826,1224
21,31,14.18,37,65
22,63,29.51,1908,3226
23,68,19.32,692,960
24,97,25.53,1259,1491
25,89,16.79,203,229
26,94,23.18,1773,2894
27,64,26.19,65,80
28,61,26.85,125,168
29,23,27.57,1612,3199
30,49,24.1,70,129
31,81,20.72,1080,2149
32,84,28.13,1592,3174
33,53,13.92,1075,1727
34,76,32.75,1792,2295
35,50,21.62,1228,1822
36,85,25.22,1349,1895
37,62,29.65,1699,3260
38,86,17.27,26,38
39,23,23.6,2078,2299
40,40,23.54,1384,2204
41,62,33.09,1792,2161
42,14,30.0,27,47
43,12,25.72,1260,1393
44,42,26.36,460,762
45,56,19.27,606,916
46,94,32.33,853,1069
47,41,14.07,2235,3825
48,74,21.36,2215,2586
49,100,28.69,1709,2477
50,92,33.39,161,217
51,0,16.87,2179,2926
52,97,23.73,2205,4288
53,89,21.85,537,967
54,70,27.73,1121,2020
55,10,30.18,1556,1869
56,57,13.7,593,667
57,82,22.78,2160,3175
58,56,24.29,2010,3775
59,35,14.3,1176,1947
60,54,12.73,1136,2042
61,88,24.37,981,1420
62,11,27.5,23,33
63,3,11.7,1907,3286
64,95,36.74,1524,1736
65,29,13.71,2137,3670
66,44,23.88,551,1095
67,26,15.46,310,362
68,60,20.26,1516,2682
69,66,20.94,1422,2304
70,28,20.83,1373,1854
71,86,21.07,2069,3708
72,89,33.52,134,221
73,29,34.11,1615,3148
74,66,17.35,2179,3403
75,97,27.28,145,251
76,80,26.15,1329,2335
77,18,31.65,354,414
78,78,24.14,2225,2725
79,97,26.56,1927,2974
80,36,18.68,817,1029
81,9,29.41,2226,2990
82,34,23.81,724,990
83,57,19.65,940,1303
84,17,20.63,108,187
85,63,29.66,822,910
86,7,32.46,372,651
87,91,33.0,358,698
88,9,18.3,842,1196
89,20,16.7,506,881
90,47,28.12,655,922
91,44,19.95,937,1862
92,77,33.15,1803,2346
93,1,21.02,25,31
94,68,17.31,335,509
95,28,15.42,2189,3885
96,60,16.09,92,139
